Marca temporal,"¿De estos grupos de colores, cuales son los colores primarios?",¿Cuál de estos no es continente?,¿Cuál de estos no es un sentido humano?,¿Cuál es el océano mas grande del mundo?,¿Quién es el autor de ‘Don Quijote de la Mancha’?,¿Cuándo se celebra el natalicio de Ramon Matías Mella (Padre de la patria dominicano),¿A cuánto equivale el número Pi aproximadamente?,¿En qué año llegaron los colonizadores españoles a América?,¿Cuál es el país mas grande del mundo?,¿Qué país tiene mas habitantes?,¿Cómo se llama el fundador de Facebook?,¿Cómo se llama el fundador de Microsoft?,¿Cuál es el resultado de la operación 2 * 1 + 3 * 4 ?,¿Cuál es el país más grande(a nivel de extensión territorial) de América?,¿Cómo surge los Estados Unidos?,¿Cuál de estos países tiene mas inmigrantes(personas que nacieron o proceden de otro lugar)? ,¿Quién era el general de los Nazis en la Segunda Guerra Mundial?,¿Cuándo es el natalicio de juan pablo duarte(Padre de la patria dominicano),¿Cuál es la capital de México?,¿Cuál es el resultado de dividir 100 entre 50?
12/3/2021 14:47:58,"El gris, blanco y negro",América,El gusto,El océano arábico,Gabriel García Márquez,25 de febrero,4.1416,1501,China,Canadá,Bill Gates,Bill Gates,24,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 14:55:34,"El amarillo, azul y rojo",América,La suerte,El océano pacifico,William Shakespeare,25 de febrero,5.1416,1492,Canadá,Canadá,Bill Gates,Steve Jobs,26,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Mexico,Benito Mussolini,26 de febrero,Guadalajara,2
12/3/2021 17:53:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Steve Jobs,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:02:06,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:04:27,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:06:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:24:56,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de febrero,Ciudad de Mexico,2
12/3/2021 18:27:41,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Argentina,Adolf Hitler,26 de enero,SInaloa,2
12/3/2021 18:29:19,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,26 de enero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:30:08,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1501,China,China,Mark Zuckerberg,Steve Jobs,14,Mexico,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:35:03,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,William Shakespeare,25 de febrero,3.1416,1490,China,China,Steve Jobs,Mark Zuckerberg,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:38:05,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1490,Canadá,Rusia,Mark Zuckerberg,Mark Zuckerberg,26,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Heinrich Himmler,26 de enero,Guadalajara,2
12/3/2021 18:38:10,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Mark Zuckerberg,14,Canada,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:38:39,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:38:57,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Mark Zuckerberg,26,Mexico,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Heinrich Himmler,26 de enero,Guadalajara,0
12/3/2021 18:39:48,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 18:42:10,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:47:29,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:49:00,"El gris, blanco y negro",Mongolitis,La suerte,El océano atlántico,Gabriel García Márquez,26 de enero,3.1416,1492,Canadá,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,27 de febrero,Ciudad de Mexico,2
12/3/2021 18:49:27,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1490,Rusia,China,Mark Zuckerberg,Steve Jobs,24,Mexico,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 18:54:28,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Adolf Hitler,26 de febrero,Ciudad de Mexico,2
12/3/2021 18:57:37,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,4.1416,1492,Rusia,Rusia,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:58:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:02:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Gabriel García Márquez,25 de febrero,3.1416,1501,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:08:41,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Espana,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:11:11,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Gabriel García Márquez,25 de febrero,3.1416,1490,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,27 de febrero,Ciudad de Mexico,2
12/3/2021 19:12:10,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:17:17,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,26 de enero,3.1416,1490,China,China,Mark Zuckerberg,Bill Gates,24,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:25:00,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1490,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:38:00,"El gris, blanco y negro",Mongolitis,El gusto,El océano atlántico,Miguel de cervantes,26 de enero,3.1416,1490,Rusia,China,Mark Zuckerberg,Mark Zuckerberg,14,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Benito Mussolini,26 de enero,Guadalajara,2
12/3/2021 19:54:20,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,24,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 19:59:45,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:00:38,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Argentina,Adolf Hitler,26 de enero,SInaloa,2
12/3/2021 20:14:28,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:21:42,"El amarillo, azul y rojo",Mongolitis,El gusto,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:23:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Bill Gates,Steve Jobs,14,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Mexico,Adolf Hitler,26 de enero,Ciudad de Mexico,1
12/3/2021 20:26:40,"El gris, blanco y negro",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,26 de enero,5.1416,1501,China,China,Mark Zuckerberg,Steve Jobs,24,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Benito Mussolini,27 de febrero,SInaloa,2
12/3/2021 20:27:02,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,1
12/3/2021 20:27:08,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:27:51,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:28:16,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:28:22,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:28:23,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:28:25,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Gabriel García Márquez,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:29:09,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:30:45,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:31:17,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:31:26,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:34:46,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 20:35:01,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:36:47,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:36:50,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:36:57,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:37:27,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1490,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:39:50,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:41:27,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:43:58,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 20:44:31,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Steve Jobs,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Espana,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 20:44:54,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de febrero,Ciudad de Mexico,2
12/3/2021 20:44:59,"El amarillo, azul y rojo",América,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,5.1416,1490,China,China,Mark Zuckerberg,Mark Zuckerberg,24,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Benito Mussolini,27 de febrero,Guadalajara,2
12/3/2021 20:45:35,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Bill Gates,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
